Sender,Message,Date,Timestamp,Flirt_Label,Predicted_Flirt_Label,Predicted_Flirt,Hour,Media_Flag,Missed_Call_Flag
Isaac,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,2025-02-03,2025-02-03 22:22:00,1,1,Flirt,22,0,0
Anna,Can you pls send me that company name. In saibaba colany,2025-07-22,2025-07-22 13:43:00,0,0,Not Flirt,13,0,0
Anna,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",2025-11-21,2025-11-21 02:48:00,0,0,Not Flirt,2,0,0
Anna,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,2025-01-24,2025-01-24 14:31:00,0,0,Not Flirt,14,0,0
Anna,Yeah it's jus rite...,2025-11-10,2025-11-10 07:45:00,0,0,Not Flirt,7,0,0
Anna,Hey mate. Spoke to the mag people. WeÂÃÃ·re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,2025-10-30,2025-10-30 03:25:00,0,0,Not Flirt,3,0,0
Anna,I know you mood off today,2025-04-12,2025-04-12 06:12:00,0,0,Not Flirt,6,0,0
Anna,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,2025-08-19,2025-08-19 16:19:00,0,0,Not Flirt,16,0,0
Anna,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",2025-03-02,2025-03-02 14:05:00,1,1,Flirt,14,0,0
Anna,Lol ... I knew that .... I saw him in the dollar store,2025-10-04,2025-10-04 18:47:00,0,0,Not Flirt,18,0,0
Isaac,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,2025-09-13,2025-09-13 18:58:00,0,0,Not Flirt,18,0,0
Anna,Hey gals...U all wanna meet 4 dinner at nÃÃte? ,2025-05-10,2025-05-10 14:48:00,0,0,Not Flirt,14,0,0
Anna,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,2025-01-26,2025-01-26 02:26:00,0,0,Not Flirt,2,0,0
Anna,"Y cant u try new invention to fly..i'm not joking.,",2025-12-21,2025-12-21 07:32:00,0,0,Not Flirt,7,0,0
Anna,"that would be good ÂÃ_ I'll phone you tomo lunchtime, shall I, to organise something?",2025-06-12,2025-06-12 20:39:00,0,0,Not Flirt,20,0,0
Anna,LOL that would be awesome payback.,2025-11-23,2025-11-23 00:35:00,0,0,Not Flirt,0,0,0
Anna,You'd like that wouldn't you? Jerk!,2025-09-05,2025-09-05 13:08:00,0,0,Not Flirt,13,0,0
Anna,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",2025-10-12,2025-10-12 04:24:00,0,0,Not Flirt,4,0,0
Isaac,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,2025-10-05,2025-10-05 10:38:00,0,0,Not Flirt,10,0,0
Anna,He remains a bro amongst bros,2025-03-13,2025-03-13 07:28:00,0,0,Not Flirt,7,0,0
Isaac,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,2025-05-14,2025-05-14 00:54:00,0,0,Not Flirt,0,0,0
Anna,If you're not in my car in an hour and a half I'm going apeshit,2025-06-20,2025-06-20 12:44:00,0,0,Not Flirt,12,0,0
Anna,"Cool, text me when you head out",2025-07-01,2025-07-01 20:40:00,0,0,Not Flirt,20,0,0
Anna,That's y i said it's bad dat all e gals know u... Wat u doing now?,2025-01-17,2025-01-17 07:22:00,0,0,Not Flirt,7,0,0
Anna,I know girls always safe and selfish know i got it pa. Thank you. good night.,2025-07-19,2025-07-19 15:34:00,0,0,Not Flirt,15,0,0
Anna,Ok.. ÃÃ finishing soon?,2025-02-26,2025-02-26 14:20:00,0,0,Not Flirt,14,0,0
Anna,"life alle mone,eppolum oru pole allalo",2025-09-29,2025-09-29 10:01:00,0,0,Not Flirt,10,0,0
Anna,"If i let you do this, i want you in the house by 8am.",2025-09-07,2025-09-07 10:02:00,0,0,Not Flirt,10,0,0
Anna,Daddy will take good care of you :),2025-12-03,2025-12-03 17:57:00,0,0,Not Flirt,17,0,0
Isaac,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,2025-09-29,2025-09-29 22:09:00,0,0,Not Flirt,22,0,0
Anna,Just do what ever is easier for you,2025-05-15,2025-05-15 00:51:00,0,0,Not Flirt,0,0,0
Anna,But i have to. I like to have love and arrange.,2025-12-20,2025-12-20 03:38:00,1,1,Flirt,3,0,0
Anna,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,2025-05-31,2025-05-31 03:45:00,1,1,Flirt,3,0,0
Anna,"Goodmorning, Today i am late for  &lt;#&gt; min.",2025-04-30,2025-04-30 03:37:00,0,0,Not Flirt,3,0,0
Anna,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2025-11-27,2025-11-27 13:14:00,0,0,Not Flirt,13,0,0
Anna,I wish u were here. I feel so alone,2025-05-16,2025-05-16 10:15:00,0,0,Not Flirt,10,0,0
Anna,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite""",2025-01-29,2025-01-29 04:09:00,1,1,Flirt,4,0,0
Isaac,Ur HMV Quiz cash-balance is currently Ã¥Â£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,2025-06-21,2025-06-21 13:33:00,0,0,Not Flirt,13,0,0
Anna,So wat's da decision?,2025-10-18,2025-10-18 11:47:00,0,0,Not Flirt,11,0,0
Anna,K.k:)advance happy pongal.,2025-03-11,2025-03-11 10:15:00,0,0,Not Flirt,10,0,0
Anna,Unless it's a situation where YOU GO GURL would be more appropriate,2025-06-19,2025-06-19 03:39:00,0,0,Not Flirt,3,0,0
Anna,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",2025-02-17,2025-02-17 17:04:00,1,1,Flirt,17,0,0
Anna,"THATÃ¥ÃS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONÃ¥ÃT WORRY.C U L8TR HUN!LOVE Yaxxx",2025-09-08,2025-09-08 16:03:00,1,1,Flirt,16,0,0
Isaac,WINNER!! As a valued network customer you have been selected to receivea Ã¥Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,2025-06-23,2025-06-23 19:22:00,0,0,Not Flirt,19,0,0
Anna,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,2025-05-01,2025-05-01 17:52:00,0,0,Not Flirt,17,0,0
Anna,Ma head dey swell oh. Thanks for making my day,2025-03-25,2025-03-25 01:54:00,0,0,Not Flirt,1,0,0
Anna,Ok... Take ur time n enjoy ur dinner...,2025-07-26,2025-07-26 04:30:00,0,0,Not Flirt,4,0,0
Anna,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",2025-09-02,2025-09-02 14:12:00,1,1,Flirt,14,0,0
Anna,Ok thanx... Take care then...,2025-12-10,2025-12-10 05:33:00,0,0,Not Flirt,5,0,0
Anna,K:)eng rocking in ashes:),2025-06-09,2025-06-09 17:57:00,0,0,Not Flirt,17,0,0
Anna,I'm home...,2025-02-28,2025-02-28 22:20:00,0,0,Not Flirt,22,0,0
Anna,"wiskey Brandy Rum Gin Beer Vodka Scotch SAnnapain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",2025-10-31,2025-10-31 23:35:00,0,0,Not Flirt,23,0,0
Anna,Now thats going to ruin your thesis!,2025-08-18,2025-08-18 23:41:00,0,0,Not Flirt,23,0,0
Anna,Lemme know when you're here,2025-09-13,2025-09-13 16:43:00,0,0,Not Flirt,16,0,0
Anna,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),2025-02-05,2025-02-05 18:55:00,0,0,Not Flirt,18,0,0
Anna,yay! finally lol. i missed our cinema trip last week :-(,2025-04-25,2025-04-25 05:49:00,1,1,Flirt,5,0,0
Anna,How did you find out in a way that didn't include all of these details,2025-10-08,2025-10-08 08:10:00,0,0,Not Flirt,8,0,0
Anna,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,2025-10-31,2025-10-31 19:56:00,0,0,Not Flirt,19,0,0
Anna,For fear of fainting with the of all that housework you just did? Quick have a cuppa,2025-06-09,2025-06-09 01:00:00,0,0,Not Flirt,1,0,0
Anna,Am I the only one who doesn't stalk profiles?,2025-10-21,2025-10-21 19:17:00,0,0,Not Flirt,19,0,0
Anna,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,2025-11-04,2025-11-04 06:29:00,0,0,Not Flirt,6,0,0
Anna,Okie... Thanx...,2025-05-22,2025-05-22 15:12:00,0,0,Not Flirt,15,0,0
Anna,"Sorry, I'll call later",2025-11-24,2025-11-24 20:03:00,0,0,Not Flirt,20,0,0
Anna,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,2025-04-16,2025-04-16 11:26:00,0,0,Not Flirt,11,0,0
Anna,"Did you say bold, then torch later. Or one torch and 2bold?",2025-03-29,2025-03-29 16:36:00,0,0,Not Flirt,16,0,0
Anna,Not yet chikku..wat abt u?,2025-09-07,2025-09-07 05:12:00,0,0,Not Flirt,5,0,0
Anna,What was she looking for?,2025-08-21,2025-08-21 12:56:00,0,0,Not Flirt,12,0,0
Anna,Shopping? Eh ger i toking abt syd leh...Haha,2025-02-21,2025-02-21 07:06:00,0,0,Not Flirt,7,0,0
Anna,I liked the new mobile,2025-11-01,2025-11-01 00:06:00,0,0,Not Flirt,0,0,0
Anna,Now am free call me pa.,2025-03-15,2025-03-15 05:35:00,0,0,Not Flirt,5,0,0
Anna,Wat r u doing?,2025-10-21,2025-10-21 20:28:00,0,0,Not Flirt,20,0,0
Anna,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",2025-01-04,2025-01-04 00:26:00,1,1,Flirt,0,0,0
Anna,They just talking thats it de. They wont any other.,2025-10-18,2025-10-18 21:57:00,0,0,Not Flirt,21,0,0
Anna,Yep. I do like the pink furniture tho.,2025-10-15,2025-10-15 07:09:00,0,0,Not Flirt,7,0,0
Anna,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,2025-10-12,2025-10-12 21:44:00,1,1,Flirt,21,0,0
Anna,Then Ã_ ask dad to pick Ã_ up lar... ÃÃ wan 2 stay until 6 meh...,2025-08-31,2025-08-31 18:46:00,0,0,Not Flirt,18,0,0
Anna,"Sorry pa, i dont knw who ru pa?",2025-06-22,2025-06-22 07:09:00,0,0,Not Flirt,7,0,0
Anna,U WILL SWITCH YOUR FONE ON DAMMIT!!,2025-09-15,2025-09-15 11:36:00,0,0,Not Flirt,11,0,0
Anna,I'm at work. Please call,2025-04-12,2025-04-12 09:22:00,0,0,Not Flirt,9,0,0
Anna,Well i will watch shrek in 3D!!B),2025-10-13,2025-10-13 00:56:00,0,0,Not Flirt,0,0,0
Anna,Long after I quit. I get on only like 5 minutes a day as it is.,2025-07-22,2025-07-22 23:01:00,0,0,Not Flirt,23,0,0
Anna,Hey you told your name to gautAnna ah?,2025-06-17,2025-06-17 16:25:00,0,0,Not Flirt,16,0,0
Anna,Happy New Year Princess!,2025-07-04,2025-07-04 17:03:00,0,0,Not Flirt,17,0,0
Anna,"Coffee cake, i guess...",2025-07-27,2025-07-27 17:37:00,0,0,Not Flirt,17,0,0
Anna,I wont touch you with out your permission.,2025-01-14,2025-01-14 22:07:00,1,1,Flirt,22,0,0
Anna,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",2025-02-21,2025-02-21 07:30:00,0,0,Not Flirt,7,0,0
Anna,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",2025-03-31,2025-03-31 20:27:00,0,0,Not Flirt,20,0,0
Anna,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",2025-02-12,2025-02-12 02:22:00,0,0,Not Flirt,2,0,0
Anna,"K I'm ready,  &lt;#&gt; ?",2025-06-10,2025-06-10 15:29:00,0,0,Not Flirt,15,0,0
Anna,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",2025-09-02,2025-09-02 01:51:00,1,1,Flirt,1,0,0
Anna,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",2025-08-27,2025-08-27 23:33:00,1,1,Flirt,23,0,0
Isaac,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",2025-06-22,2025-06-22 03:02:00,0,0,Not Flirt,3,0,0
Anna,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",2025-11-09,2025-11-09 03:39:00,0,0,Not Flirt,3,0,0
Anna,Are you this much buzy,2025-07-26,2025-07-26 10:56:00,0,0,Not Flirt,10,0,0
Anna,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,2025-01-30,2025-01-30 05:08:00,0,0,Not Flirt,5,0,0
Anna,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,2025-10-07,2025-10-07 07:16:00,0,0,Not Flirt,7,0,0
Anna,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,2025-07-29,2025-07-29 20:54:00,0,0,Not Flirt,20,0,0
Isaac,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,2025-08-20,2025-08-20 19:03:00,0,0,Not Flirt,19,0,0
Anna,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",2025-07-26,2025-07-26 12:08:00,0,0,Not Flirt,12,0,0
Anna,aathi..where are you dear..,2025-07-22,2025-07-22 04:55:00,0,0,Not Flirt,4,0,0
Anna,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",2025-02-03,2025-02-03 08:38:00,0,0,Not Flirt,8,0,0
Anna,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",2025-07-24,2025-07-24 06:10:00,0,0,Not Flirt,6,0,0
Anna,Ugh I don't wanna get out of bed. It's so warm.,2025-10-18,2025-10-18 05:04:00,0,0,Not Flirt,5,0,0
Anna,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,2025-04-22,2025-04-22 04:10:00,1,1,Flirt,4,0,0
Anna,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,2025-08-09,2025-08-09 04:02:00,0,0,Not Flirt,4,0,0
Anna,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,2025-01-12,2025-01-12 13:43:00,0,0,Not Flirt,13,0,0
Anna,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,2025-05-08,2025-05-08 01:18:00,0,0,Not Flirt,1,0,0
Anna,Kay... Since we are out already ,2025-06-09,2025-06-09 14:09:00,0,0,Not Flirt,14,0,0
Anna,We have pizza if u want,2025-12-25,2025-12-25 16:55:00,0,0,Not Flirt,16,0,0
Anna,"Aight, I'll text you when I'm back",2025-03-20,2025-03-20 14:02:00,0,0,Not Flirt,14,0,0
Anna,"Aight, you close by or still down around alex's place?",2025-04-12,2025-04-12 04:21:00,0,0,Not Flirt,4,0,0
Isaac,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,2025-05-30,2025-05-30 07:26:00,1,1,Flirt,7,0,0
Anna,You do what all you like,2025-12-29,2025-12-29 07:48:00,0,0,Not Flirt,7,0,0
Anna,Do you like shaking your booty on the dance floor?,2025-11-08,2025-11-08 12:59:00,0,0,Not Flirt,12,0,0
Anna,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",2025-01-13,2025-01-13 23:37:00,0,0,Not Flirt,23,0,0
Anna,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,2025-03-27,2025-03-27 15:26:00,0,0,Not Flirt,15,0,0
Anna,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,2025-10-27,2025-10-27 23:17:00,0,0,Not Flirt,23,0,0
Anna,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,2025-01-22,2025-01-22 14:15:00,1,1,Flirt,14,0,0
Anna,Oops i thk i dun haf enuff... I go check then tell Ã_..,2025-11-09,2025-11-09 08:49:00,0,0,Not Flirt,8,0,0
Anna,Horrible bf... I now v hungry...,2025-04-13,2025-04-13 22:40:00,0,0,Not Flirt,22,0,0
Anna,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,2025-12-01,2025-12-01 23:17:00,0,0,Not Flirt,23,0,0
Anna,"Sorry, I'll call later",2025-04-18,2025-04-18 09:31:00,0,0,Not Flirt,9,0,0
Anna,No i am not having not any movies in my laptop,2025-06-08,2025-06-08 17:08:00,0,0,Not Flirt,17,0,0
Anna,Wot about on wed nite I am 3 then but only til 9!,2025-08-30,2025-08-30 17:05:00,0,0,Not Flirt,17,0,0
Anna,Sac will score big hundred.he is set batsman:-),2025-02-16,2025-02-16 09:12:00,0,0,Not Flirt,9,0,0
Anna,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",2025-07-23,2025-07-23 11:08:00,1,1,Flirt,11,0,0
Anna,But i'm surprised she still can guess right lor...,2025-07-04,2025-07-04 11:53:00,0,0,Not Flirt,11,0,0
Anna,Who's there say hi to our drugdealer,2025-10-14,2025-10-14 04:40:00,0,0,Not Flirt,4,0,0
Anna,Oh oh... Wasted... Den muz chiong on sat n sun liao...,2025-12-30,2025-12-30 13:55:00,0,0,Not Flirt,13,0,0
Anna,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo Anna jeetey hai..........",2025-08-31,2025-08-31 14:04:00,0,0,Not Flirt,14,0,0
Anna,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,2025-05-30,2025-05-30 13:11:00,1,1,Flirt,13,0,0
Isaac,"U can WIN Ã¥Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",2025-05-29,2025-05-29 12:41:00,0,0,Not Flirt,12,0,0
Anna,I am not having her number sir,2025-06-02,2025-06-02 17:58:00,0,0,Not Flirt,17,0,0
Isaac,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",2025-10-25,2025-10-25 04:18:00,0,0,Not Flirt,4,0,0
Anna,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,2025-04-28,2025-04-28 11:16:00,1,1,Flirt,11,0,0
Isaac,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",2025-03-03,2025-03-03 05:20:00,0,0,Not Flirt,5,0,0
Anna,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,2025-05-03,2025-05-03 05:43:00,0,0,Not Flirt,5,0,0
Anna,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,2025-01-09,2025-01-09 14:46:00,0,0,Not Flirt,14,0,0
Anna,Okay same with me. Well thanks for the clarification,2025-02-09,2025-02-09 00:57:00,0,0,Not Flirt,0,0,0
Anna,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,2025-02-03,2025-02-03 04:05:00,0,0,Not Flirt,4,0,0
Anna,It is a good thing I'm now getting the connection to bw,2025-10-09,2025-10-09 16:37:00,0,0,Not Flirt,16,0,0
Anna,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",2025-09-21,2025-09-21 18:05:00,0,0,Not Flirt,18,0,0
Anna,S but not able to sleep.,2025-09-12,2025-09-12 10:08:00,0,0,Not Flirt,10,0,0
Anna,"Wat time liao, where still got.",2025-06-18,2025-06-18 18:20:00,0,0,Not Flirt,18,0,0
Anna,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,2025-09-19,2025-09-19 19:41:00,0,0,Not Flirt,19,0,0
Anna,No:-)i got rumour that you going to buy apartment in chennai:-),2025-03-01,2025-03-01 03:27:00,0,0,Not Flirt,3,0,0
Anna,Normally i use to drink more water daily:),2025-11-25,2025-11-25 18:14:00,0,0,Not Flirt,18,0,0
Anna,Yup next stop.,2025-07-03,2025-07-03 01:08:00,0,0,Not Flirt,1,0,0
